Utterance,Speaker,Dialogue_ID,Start_Time,End_Time,Wav_Path,Video_Path,Emotion
What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,Ses01F_impro01_F006,Ses01F_impro01,38.965,43.59,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F006.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,fru
No. I need another set of ID to prove this is actually you.,Ses01F_impro01_M006,Ses01F_impro01,41.23,46.98,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M006.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,fru
How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,Ses01F_impro01_F007,Ses01F_impro01,46.58,52.19,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F007.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,fru
I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,Ses01F_impro01_M007,Ses01F_impro01,51.4,57.64,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M007.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,fru
I'm here to get an ID.,Ses01F_impro01_F008,Ses01F_impro01,56.16,58.8225,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F008.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,fru
"No.  I need another ID, a separate one.",Ses01F_impro01_M008,Ses01F_impro01,58.18,62.59,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M008.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,fru
Like what?  Like a birth certificate?,Ses01F_impro01_F009,Ses01F_impro01,61.87,65.97,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F009.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,fru
"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",Ses01F_impro01_M009,Ses01F_impro01,65.51,73.0,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M009.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,fru
"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",Ses01F_impro01_F011,Ses01F_impro01,72.45,82.26,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F011.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,fru
"Yeah.  We keep it on file, but we need an ID to access that file.",Ses01F_impro01_M010,Ses01F_impro01,81.59,86.03,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M010.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,fru
That's out of control.,Ses01F_impro01_F012,Ses01F_impro01,85.27,88.02,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F012.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,ang
I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,Ses01F_impro01_M011,Ses01F_impro01,87.15,94.39,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M011.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,ang
How long have you been working here?,Ses01F_impro01_F013,Ses01F_impro01,93.67,97.0218,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F013.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,fru
"Clearly.  You know, do you have like a supervisor or something?",Ses01F_impro01_F014,Ses01F_impro01,97.89,102.96,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F014.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,neu
Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,Ses01F_impro01_M013,Ses01F_impro01,101.84,107.87,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M013.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,ang
That would - I would appreciate that.  Yeah.,Ses01F_impro01_F015,Ses01F_impro01,103.97,106.71,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F015.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro01.avi,fru
Did you get the mail? So you saw my letter?,Ses01F_impro02_F000,Ses01F_impro02,7.2688,16.6,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F000.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad
Yeah.  I know.,Ses01F_impro02_F001,Ses01F_impro02,19.85,22.78,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F001.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad
"I don't understand.  You've already done so much, I don't know why do you have to go back.",Ses01F_impro02_M001,Ses01F_impro02,21.76,27.5558,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M001.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad
I don't know.  I put in that. request too. They didn't...,Ses01F_impro02_F002,Ses01F_impro02,26.5659,32.2895,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F002.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad
"I guess, you know, everybody has to make sacrifices.",Ses01F_impro02_F003,Ses01F_impro02,32.3075,37.96,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F003.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,neu
"There's people that have given more though, you know?",Ses01F_impro02_F004,Ses01F_impro02,47.34,53.11,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F004.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad
I just don't see how they can make you leave when you have a new baby - we have a new kid.,Ses01F_impro02_M003,Ses01F_impro02,52.71,59.0534,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M003.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,fru
I know.,Ses01F_impro02_F005,Ses01F_impro02,58.75,61.31,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F005.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad
"There's babies over there, though, that need mothers.",Ses01F_impro02_F006,Ses01F_impro02,64.255,68.47,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F006.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,neu
I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,Ses01F_impro02_M005,Ses01F_impro02,69.34,74.29,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M005.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad
"Just, you know, kicking myself.",Ses01F_impro02_F008,Ses01F_impro02,87.2031,91.09,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F008.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad
things just aren't what they seem.,Ses01F_impro02_F010,Ses01F_impro02,97.94,102.19,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F010.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad
I know.,Ses01F_impro02_M008,Ses01F_impro02,110.5653,113.2,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M008.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,fru
I just don't see why it has to be you.,Ses01F_impro02_M009,Ses01F_impro02,114.1775,117.85,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M009.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad
"If not me then, who?",Ses01F_impro02_F012,Ses01F_impro02,117.83,120.8605,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F012.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad
What am I going to do? Huh?,Ses01F_impro02_M010,Ses01F_impro02,120.4105,124.63,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M010.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad
"You'll videotape everything, yeah?",Ses01F_impro02_F013,Ses01F_impro02,127.82,133.9455,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F013.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad
Yeah.,Ses01F_impro02_M011,Ses01F_impro02,133.88,137.1,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M011.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad
"Maybe you can send it to me, like stream it, yeah?",Ses01F_impro02_F014,Ses01F_impro02,139.03,146.43,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F014.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad
Don't you guys have access to computers over there.,Ses01F_impro02_M012,Ses01F_impro02,147.03,151.7101,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M012.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,neu
Last month--  Yeah.,Ses01F_impro02_F015,Ses01F_impro02,151.4221,155.01,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F015.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad
I just don't know how I'm going to do it without you.,Ses01F_impro02_M013,Ses01F_impro02,157.98,162.71,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M013.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad
I have to find sitters.,Ses01F_impro02_F016,Ses01F_impro02,163.54,165.73,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F016.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,neu
I can't raise a baby by myself.  How?,Ses01F_impro02_M014,Ses01F_impro02,164.885,169.5,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M014.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad
"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",Ses01F_impro02_F017,Ses01F_impro02,169.36,176.015,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F017.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad
I know.,Ses01F_impro02_M015,Ses01F_impro02,175.47,176.72,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M015.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,neu
And your mother is close by.,Ses01F_impro02_F018,Ses01F_impro02,176.08,179.13,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F018.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,neu
I'll send you lots of letters.,Ses01F_impro02_F019,Ses01F_impro02,182.83,185.8894,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F019.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad
And I want lots and lots and lots of pictures.,Ses01F_impro02_F020,Ses01F_impro02,186.58,191.11,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F020.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,sad
It's just not fair.,Ses01F_impro02_M016,Ses01F_impro02,195.1047,199.52,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M016.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro02.avi,fru
So what's up?  What's new?,Ses01F_impro03_M000,Ses01F_impro03,3.24,5.46,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M000.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro03.avi,neu
Well Vegas was awesome.,Ses01F_impro03_F000,Ses01F_impro03,4.88,7.74,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F000.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap
Yeah.  I heard.,Ses01F_impro03_M001,Ses01F_impro03,6.6,8.66,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M001.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro03.avi,neu
"And, um, I got married.",Ses01F_impro03_F001,Ses01F_impro03,7.93,11.37,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F001.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap
Yeah.  In the old town part.,Ses01F_impro03_F002,Ses01F_impro03,12.8,15.37,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F002.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap
Who did you marry?,Ses01F_impro03_M003,Ses01F_impro03,14.93,18.9075,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M003.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro03.avi,exc
Um- Yes.  It was very romantic.,Ses01F_impro03_F004,Ses01F_impro03,21.75,25.52,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F004.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap
It was at the slot machines.,Ses01F_impro03_F005,Ses01F_impro03,25.5584,28.14,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F005.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap
"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",Ses01F_impro03_F006,Ses01F_impro03,28.37,34.71,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F006.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap
He turned to you and was like...,Ses01F_impro03_M006,Ses01F_impro03,34.25,36.34,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M006.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro03.avi,neu
Hey.  Let's get married and I said okay.,Ses01F_impro03_F007,Ses01F_impro03,35.6349,40.1,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F007.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap
[LAUGHTER] That's really romantic.,Ses01F_impro03_M007,Ses01F_impro03,37.7175,40.47,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M007.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap
"Yeah.  Well.  You know, because he's leaving the next day.",Ses01F_impro03_F008,Ses01F_impro03,40.12,42.79,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F008.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap
Yeah.,Ses01F_impro03_M008,Ses01F_impro03,42.09,43.41,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M008.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro03.avi,neu
But we're going to have a honeymoon cruise.,Ses01F_impro03_F009,Ses01F_impro03,42.84,44.54,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F009.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap
"Does that mean that you're going to get citizenship, too, in- in England or whatever?",Ses01F_impro03_M009,Ses01F_impro03,44.16,49.07,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M009.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro03.avi,neu
Oh.  I hadn't even thought about that.,Ses01F_impro03_F010,Ses01F_impro03,47.87,51.075,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F010.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap
"He's not going to be a citizen, though.",Ses01F_impro03_F011,Ses01F_impro03,51.36,53.4925,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F011.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap
Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,Ses01F_impro03_M011,Ses01F_impro03,52.92,56.85,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M011.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro03.avi,neu
Oh.  Totally.,Ses01F_impro03_F012,Ses01F_impro03,55.865,58.15,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F012.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap
"Oh, how are you going to do the long distance thing?  So wait, are you going to move there?",Ses01F_impro03_M012,Ses01F_impro03,57.46,61.375,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M012.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap
I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],Ses01F_impro03_F013,Ses01F_impro03,60.73,65.86,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F013.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap
Like you need another one of those.[LAUGHTER],Ses01F_impro03_M013,Ses01F_impro03,65.6425,68.44,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M013.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap
I have an internet boyfriend.  I guess I'll have to juggle the two.  Is that cheating?  I don't know. Hmm.,Ses01F_impro03_F014,Ses01F_impro03,68.01,73.75,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F014.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap
Is that your phone?,Ses01F_impro03_M014,Ses01F_impro03,73.41,76.9975,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M014.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap
"Yeah, so [LAUGHTER] He's calling me now",Ses01F_impro03_F015,Ses01F_impro03,74.2675,78.8425,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F015.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro03.avi,exc
He loves you.,Ses01F_impro03_M015,Ses01F_impro03,78.32,80.5,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M015.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap
"He likes to keep tabs, you know.",Ses01F_impro03_F016,Ses01F_impro03,79.035,81.0875,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F016.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap
How much did he win at the slot?,Ses01F_impro03_M016,Ses01F_impro03,80.7175,82.5225,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M016.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro03.avi,neu
"Uh, I think seven hundred and fifty dollars.",Ses01F_impro03_F017,Ses01F_impro03,82.0975,85.08,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F017.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro03.avi,neu
Penny slots. That's what he plays.,Ses01F_impro03_F018,Ses01F_impro03,85.1,88.0225,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F018.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro03.avi,neu
Yeah.,Ses01F_impro03_F019,Ses01F_impro03,88.08,89.5,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F019.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro03.avi,neu
I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,Ses01F_impro03_M019,Ses01F_impro03,89.12,93.91,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M019.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro03.avi,neu
Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-,Ses01F_impro03_F021,Ses01F_impro03,92.75,98.21,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F021.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro03.avi,hap
"But the pennies always get you because you end up spending like, you know, fifty bucks.",Ses01F_impro03_M020,Ses01F_impro03,97.03,101.65,./dataset/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M020.wav,./dataset/IEMOCAP_full_release/Session1/dialog/avi/DivX/Ses01F_impro03.avi,neu
